,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
0,'https://www.youtube.com/watch?v=PLAaiKvHvZs,"'He doesn't want to go on the trip without me, so me staying behind wouldn't be an option for him. I think he really does believe that I'm the one being unreasonable. He still continues to say that...",'You're fired.,'I'm finding the lack of me in these posts very alarming.,'Why not?,'Edit: I forgot what board this was on.,this is such a catch 22 ,Splinter Cell Blacklist for Xbox 360.,'http://www.youtube.com/watch?v=qsXHcwe3krw,"'I think we do agree. I personally don't consider myself Alpha, Beta, or Foxtrot (lol at my own joke). People are people. We both agree that having emotions isn't the same as being weak, whiny,...","'Dear INTP,   I enjoyed our conversation the other day.  Esoteric gabbing about the nature of the universe and the idea that every rule and social code being arbitrary constructs created...",'Good one  _____   https://www.youtube.com/watch?v=fHiGbolFFGw,"'I love feeling affectionate for the one I love and care for. I care about her very deeply. I want to protect her, make her happy, and always be by her side.  I feel that romantic love is probably...",'They paint without numbers,"'Newton's Universal Gravity Law. I mean seriously, where would we be if nothing followed that law? Dust particles in space.","'I got 593.  From what I've read about the Enneagram I'm a 953, though.  I read somewhere that a lot of 9's mistype themselves as 5's."
1,51 :o,I'm still completely in AWE and I'm AMAZED that he doesn't think twice about leaving one of them and how that will make them feel. He said he wants to tell them that I'm not willing to work extra for...,That's another silly misconception. That approaching is logically is going to be the key to unlocking whatever it is you think you are entitled to.   Nobody wants to be approached with BS...,Sex can be boring if it's in the same position often. For example me and my girlfriend are currently in an environment where we have to creatively use cowgirl and missionary. There isn't enough...,"Any other ESFJs originally mistype as an NFP? I think that's increasingly common across typology communities, with the Sensor hate and all.",I am currently reading 'Artemis Fowl: The Eternity Code' by Eoin Colfer and 'The Shepherd's Crown' by Terry Pratchett and  'Snow Blind' by Christopher Golden,"I'm here! Although, I'm quite the terrible ESTJ-- my Fi developed so rapidly recently I might as well be a feeler...",ESTPs are generally well liked. If you get hated on then it's because you as a person have something to work on.,http://41.media.tumblr.com/tumblr_lfouy03PMA1qa1rooo1_500.jpg,"Literature... I'd suggest 'Everyday Zen' by Charlotte Joko Beck. It's a solid introduction into mindfulness meditation, what it means to sit, etc. Ch'an Buddhism isn't exactly the same as Zen but...","Dear ENTJ sub,   Long time no see.  Sincerely, Alpha","Of course, to which I say I know; that's my blessing and my curse.","Kind of an update on my past post above. Whatever you'd call a friendship that you are also very close and affectionate with someone, is what I'm in now. We're not boyfriend/ girlfriend, since of the...",I'd guess at istp too,"Well, if money and time was no object, I would backpack my way around the world. I would go where ever my feet led me in a westward fashion; only using money when I absolutely needed to. I always...",GTFO FEELER!
2,I went through a break up some months ago. We were together for 4 years and I had planned my life around that relationship. I wasn't the one breaking the relationship as you might imagine and all our...,"Thanks, everyone. I'm struggling with being selfish and not just going ahead and working to pay for the rest. I don't want my husband to feel unloved or like I don't care about his feelings......but...",But guys... he REALLY wants to go on a super-duper-long-ass vacation. C'mon guys. His boss just doesn't listen or get it. He even approached him logically and everything.,Giving new meaning to 'Game' theory.,"Hello again. Thanks for all your help. I know this is late; it's been quite busy with finals and such. This order is tentative, and some were really close, but here's the order I could come up with...","Hi all, if you've got some spare time and why else would you be on Spam World, can you vote on this please MORE TALENT IN MY LITTLE FINGER FRENEMY FACE OFF Who is more of a creative genius, Simon...",Yikes. I do not want power...,"I often come off to people with the opposite of my intention, if I don't listen to my gut. Sometimes I over think my natural social skills and come off as a sarcastic douche. Listening to your...",enfp and intj moments  https://www.youtube.com/watch?v=iz7lE1g4XM4  sportscenter not top ten plays  https://www.youtube.com/watch?v=uCdfze1etec  pranks,"Being emotional doesn't automatically make someone not Alpha; every single human being, regardless of his or her type is emotional. We all feel things intensely. But emotions need to be kept in...",None of them. All other types hurt in deep existential ways that I want no part of.,"Does being absolutely positive that you and your best friend could be an amazing couple count? If so, than yes.   Or it's more I could be madly in love in case I reconciled my feelings (which at...","It feels weird being in love for the first time...there's nothing I want more now than to be with the person i love, but meeting people through online communities is hard because you don't actually...","My best bud is ESFP, very funny, entertaining and a big softy. He can be draining, yapping away at everything, and often it's a one way conversation with him, yap yap yap lol. Would not be good to be...",http://www.oglaf.com/media/comic/failsafe.jpg,"A lot of the stuff that you read in the INTP descriptions applies to ISTPs a well.  Like you mentioned we share a dominant function. Honestly, I think that even some of the things those descriptions..."
3,ENFJ Puns so many puns.,"My husband works an extra job each year to pay for a Disney World trip for the two of us, our son together and my two boys ages 12 and 13. He says the vacation is extremely important to him and...",Never mind. Just go on permanent vacation.,Hello *ENTP Grin*  That's all it takes. Than we converse and they do most of the flirting while I acknowledge their presence and return their words with smooth wordplay and more cheeky grins.,"Of the J functions, I'd say it would be: Fi>Ti>Fe>Te or Fi>Fe>Ti>Te.      Of the P functions I think it goes: Si>Ne>Ni>Se",BABYMETAL are the best band of this decade  https://www.youtube.com/watch?v=cK3NMZAUKGw,"Thank you SO SO much. This is what I had planned to do, and I spent time trying to see it from his perspective and all your thoughts were what I was thinking: consistency. As an ESTJ, once I can...",Ask her what you are to her.,What has been the most life-changing experience in your life?,"I'm a Ch'an Buddhist, so it's a daily thing for me. Actually, it's an all-the-time thing for me. It has brought more clarity to my life, lowered my stress levels, and eliminated the fits that I'd...","Probably a sliding scale that depends on individual preferences, like everything in humanity.","No, I didn't; thank you for a link!","Unsure if i completely understand the question, but i am in a similar place right now. There's a person i like, I have told her i like her and she did say she is attracted to me too, but because of...","I used to smoke weed alot, everyday from morning till night for 3/4 years. It screwed my head up even when I stopped smoking it for good. I call it a head f*ck up. I went to docs then was passed onto...",I'm still laughing! xD  http://www.youtube.com/watch?v=7x9Qw1KSyIs  http://www.youtube.com/watch?v=sRHh3Rx8c80,"Don't worry about it.  You are trying to make sense of the world and it's hard to ask this kind of question without being offensive.  Luckily, ISTPs don't usually get offended too easily.  I've..."
4,Well I personally don't go that much for attractiveness in general but I can see you have the will to change that and that's good already. May I ask if you want to be with them in a merely sexual...,"He said that it's not like he's asking me to do the 90 percent and he is only willing to do 10, but that it's the other way around. He's doing all the sacrificing and once again I'm  not willing to...","Two months? I wouldn't be crazy about the idea. If you are really his best employee, then that's what may be cooking him. Who wants their most reliable asset gone for that long?  ENTJ employer...",This + Lack of Balance and Hand Eye Coordination.,"The ESFJs on this site are lovely. I'm generally shy or a bit wary on big sites like this, but you all have managed to make me smile and feel just a little bit at home.   <3",Banned for being a fire hazard.,Hi,I'm a euphonium player and a writer,http://www.youtube.com/watch?v=vXZeYwwRDw8   http://www.youtube.com/watch?v=u8ejam5DP3E  On repeat for most of today.,"Glad to know I'm not the only one. I meditate, so I know what the thoughts/feelings are behind all this. I feel like, of all the women I've interacted with (and it's quite a few), she was the best...",Draco Malfoy also. I'd say he's either 358 or 368.,"So-called Ti-Si loop (and it can stem from any current topic/obsession) can be deadly. It's like when you're stuck in your own thoughts, and your mind just wanders in circles. Feels truly terrible. ...","Not often, but I tend to lose it more when it comes to things happening to others than myself. When feeling emotionally unstable I have ripped into people for treating friends poorly, and i become a...",Jimi Hendrix - The Wind Cries Mary.  After all the jacks are in their boxes And the clowns have all gone to  bed You can hear happiness staggering on down the street ( My favorite line )...,"workaround is working for me, and I'm using FF 8.0 Double click the edit post, edit post like normal, hit submit, FATAL ERROR!!!, ignore that and open a new tab, revist same thread, everything is...",My mother-in-law is an ESTJ.  She is the epitome of an upstanding citizen.  She volunteers at her church.  She is eager to to any kind of manual labor to help someone out.  She is a teacher in one of...
5,"Sorry, not an INFP but I'm really into post-rock so I had to post :<  Going to leave this here and sneak out D:  https://www.youtube.com/watch?v=usHC-O1BPCM","My husband would rather that I be skinny with smaller boobs than heavier with slightly larger boobs, though I'm sure if he had his way he'd prefer skinny with larger boobs. Oh well.  I can't...",Lol. Its not like our views were unsolicited. What a victim.,"Real IQ test I score 127. Internet IQ tests are funny. I score 140s or higher.  Now, like the former responses of this thread I will mention that I don't believe in the IQ test. Before you banish...",I am pursuing a career in elementary education!,A win would be nice about now.,Thank you for your help in advance. <3  I had been dating an ESFJ since September. I've never felt this way about someone before even all my long-term bfs.  I wasn't myself in this relationship....,All of them.,May the PerC Experience immerse you.,"I've resolved this issue, but I appreciate everyone's input. I started taking Yoga classes and I lowered my standards a bit so that what I once called acquaintances are now friends. I still don't...","I'm either 358 or 385, though in which stacking to me is a somewhat arbitrary distinction to make as I believe that the core indicates primary motivation and has a hand in every action. Therefore, a...",Have you noticed how peculiar vegetation can be? All you have to do is look down at the grass: dozens of different plant species there.    And now imagine that hundreds of years later (when/if soil...,"I noticed i stopped coming here for a long time. Used to come here every day, then I just started to feel like i didn't need to come here anymore after a while, then one day it completely stopped. I...","Gardening/Landscape designer or environmental conservation. Great practical work, very hands on, varied, rewarding and enjoyable.","I drink tea, unsweetened 95% of the time.  I also like cider, hot or cold, cider is one of the best drinks in the world.",I'd rather buy my own cheap lawn mower to walk behind 40 minutes a week than have to drive to a rental shop and load up a nice mower every time I wanted to mow my yard.  It pisses me off enough to...
6,Welcome!!!,.                Oh my gosh....this has me laughing my head off!!!,Sometimes I just really like impoverished rap music.   https://www.youtube.com/watch?v=Xh0vA6_8mv8,"You know you're an ENTP when you vanish from a site for a year and a half, return, and find people are still commenting on your posts and liking your ideas/thoughts. You know you're an ENTP when you...",Thank you for the mention! <3 I am unsure of my ESFJ typing (I may be ISFJ) but I appreciate the mention and will answer the questions.  1. What is your favorite food? Fettucine with alfredo sauce....,You can't really get on with other things tho because you have to keep an eye or an ear out for your number to be called. Plus you have to put up with all the annoyingness of the ear ache that is the...,"We're very direct, open, and we hate dancing around things. We like things to proceed in a very step-by-step fashion. We always like to know where we stand with people and will tell you how we feel...",;),The last thing my INFJ friend posted on his facebook before committing suicide the next day. Rest in peace~   http://vimeo.com/22842206,I keep trying online dating on and off. I usually disable my account or delete it out of frustration because everyone I talk to just aren't what I'm looking for.  I tried it again a little more...,"I'm not particularly introverted or extraverted, personally. That said, I would say I'm somewhat unphased by either social interactions or being alone. What I'd say I crave more so than anything is...",The Smiths – Never Had No One Ever,"It depends on how you look at it. Protecting others makes me happy, and i love to be there for my friends. I'm always there, lending a shoulder to lie their head on.","I loved This is England, Lol's a great character! 10/10 :D",http://28.media.tumblr.com/tumblr_lgw8ytx14T1qbbby5o1_500.jpg,I can't think of any great ones.   It may be better to post this question in the cognitive functions forum. They've been helpful for me when I had these kinds of questions. I'd be interested in...
7,wrong thread D:,As naive and short sighted as this sounds....I use to think that everyone thought and felt  the same way that I did. How I went for 30 something years before I realized that people are different and...,"I probably would have lost it too. His stonewalling was insignificant. He was being an idiot over semantics that didn't have any impact on anything. It's one thing to stone wall on critical shit, but...",http://img188.imageshack.us/img188/6422/6020d1f9da6944a6b71bbe6.jpg,"Eh, I don't think so. It just seems that way because it's so widely valued by society above most all else. I don't really believe in superior disciplines. It's all important, y'know?","Lately I've been reading a lot of graphic novels 347026  As an ESFP I need books to be fast paced. If there's a slow start or a lull in the action, I end up doing something else. Like reading...",EXACTLY THIS. I let other people lead and do things until things become chaotic then I take over because I can't handle the downward spiraling of chaos.,Intense cardio and body weight exercises.,"Hello ENFJ7. Sorry to hear of your distress. It's only natural for a relationship to not be perfection all the time in every moment of existence. Try to figure the hard times as times of growth, as...","Agree on all fronts. I don't understand how people can watch a baseball game, much less devote an entire conversation to it. Same goes for football, hockey, boxing (though I have to admit I love...","Dear Type 9 INFP,  Your absolute admiration of me is refreshing. You're a great girlfriend and I wish we both didn't have such busy schedules so we could be around one another more often.  Keep...",I often find myself spotting faces on marble tiles/wood.,I start swearing alot. But only when alone. I don't like disturbing others,.,A guy can't spread appreciation of complex trigonometric functions without being called feelery? What's this world coming to?,I have a Facebook account but I don't use it.   I do like twitter. I never tweet but it is interesting to see what people are saying about the snl episode or basketball game that I am watching in...
8,That doesn't sound very ENFJ I think x3 I'd never act cold towards a romantic interest. Those just get my warm side I think. When I like someone that way all I want to do is to just straight to them...,I've also always been drawn to leasing agents and apartment management.,I would have just taken the project and gave them something later.,http://img.adultdvdtalk.com/813a0c6243814cab84c51,"Oh, I do that. A lot, actually. Sometimes I find that mid-sentence, I come up with something different and say that. It's like I start off with half a sentence and my mind gives me something to...","Are we rough? We certainly can be. Have a look at prison stats. I think you'll find a higher percentage of SPs in there, relative to our percentage out here. ...","My best friend is an INFJ, we've been besties for 12 years now. So just from my experience, the relationship is great! We've never fought or got into an argument. *knock on wood* My aunt is also an...","Most things hands on. For me, music. I'm very tactile. I like to write too.",84389  84390  http://wallpaperpassion.com/upload/23700/friendship-boy-and-girl-wallpaper.jpg  http://assets.dornob.com/wp-content/uploads/2010/04/round-home-design.jpg ...,"Well, I tend to be kind of... over-confident, so negative feedback wouldn't devastate me; it would just give me a better idea of whether I'm too sure of myself or not.",2% still means about 1/50 people. I've probably seen 1-2 others today. I never understood fascination by virtue of rarity.,This 5 year-old sentence is an incredibly accurate and beautiful description.,"I don't believe in one single reason for living. Whatever your meaning in life is, it's not pre-determined by anything but you.",Cogs,Copy and paste      (sqrt(cos(x))*cos(400*x)+sqrt(abs(x))-0.4)*(4-x*x)^0.1      to Google      Have A Nice Day! :),I experience almost everything mentioned in this 6 page thread but this sticks out to me.  I will analyze something to the point that I can't remember all of the reasons that support my argument. ...
9,"Not really, I'm mostly a guitar player with a bass obsession, I'm the person who ask for the bass to be louder or at least more relevant. I like trying new instruments and sometimes add them to a...","I was a stay at home mom until around 6 years ago. I always had my hand in some kind of entrepreneur venture during that time though,  and found that I really loved training and speaking in front of...",The court deposition wasn't a skit. That actually happened. It was a verbatim reenactment.,"I over think things sometimes. I go by the old Sherlock Holmes quote.  Perhaps, when a man has special knowledge and special powers like my  own, it rather encourages him to seek a complex...","Thinking and reflecting is certainly natural to me, and I don't find it boring at all. While I love music and I listen to it frequently, I couldn't handle it forever. I once knew a girl who listened...",https://scontent-lhr3-1.xx.fbcdn.net/hphotos-xft1/t31.0-8/11411823_716820051763501_455834092455072076_o.jpg  Do you agree?,Hmm... Perhaps you can try being less talkative? I've learned to listen a lot more and practice being more introverted. It's really not necessary to always say what you think/feel. One of my goals...,We're smooth operators. We know people. We're direct. This thread is dead. The End.,Welcome and stuff.,"Financially, I'm in the 250k/yr+ group. Like you, I lead meetings (with clients mostly) and I'm very self-driven because, well, when you're self-employed, you have to be if you're going to be. You...","So, you're on the ESFJ train also, right?","I haven't visited this website in the last 3 years. So whoever reads this (and maybe even remembers me, which I highly doubt): hi.  700049  700057","It's very hard to explain...things like social etiquette I just did not understand, and in some ways, I still don't understand. That's only a tiny fragment of what I go through, its just extremely...",infpaul haha.. erm cheers!,I thought I was slightly OCD but Doback confirmed I'm just slightly ISTJ. You know you're an ISTJ when you have your closet organized by color and type of clothing/shoes.,http://i.imgur.com/qd2Eb.gif
